state,pop,no_type,1st Booster,1st Dose,2nd Booster,2nd Dose
Johor,3794200,Done,2145868,3351871,54457,3296758
Johor,3794200,Not done,1648332,442329,3739743,497442
Kedah,2193600,Not done,1442546,495957,2183517,528833
Kedah,2193600,Done,751054,1697643,10083,1664767
Kelantan,1928900,Not done,1589486,676010,1925923,702530
Kelantan,1928900,Done,339414,1252890,2977,1226370
Kuala Lumpur,1746600,Done,1738340,3249689,118101,3167939
Kuala Lumpur,1746600,Not done,8260,0,1628499,0
Labuan,100100,Done,50063,89623,548,85285
Labuan,100100,Not done,50037,10477,99552,14815
Melaka,937800,Done,547052,795107,15798,781172
Melaka,937800,Not done,390748,142693,922002,156628
Negeri Sembilan,1128900,Done,662028,1032800,18808,1017170
Negeri Sembilan,1128900,Not done,466872,96100,1110092,111730
Pahang,1684700,Not done,1052868,404626,1672863,431260
Pahang,1684700,Done,631832,1280074,11837,1253440
Penang,1774200,Not done,689533,139642,1753553,161088
Penang,1774200,Done,1084667,1634558,20647,1613112
Perak,2509000,Not done,1338878,484481,2476312,527252
Perak,2509000,Done,1170122,2024519,32688,1981748
Perlis,255500,Done,79768,217121,648,213575
Perlis,255500,Not done,175732,38379,254852,41925
Putrajaya,116100,Done,84552,166248,3053,165234
Putrajaya,116100,Not done,31548,0,113047,0
Sabah,3832500,Not done,2897821,1218315,3817264,1307377
Sabah,3832500,Done,934679,2614185,15236,2525123
Sarawak,2824700,Not done,1241987,317782,2778587,395664
Sarawak,2824700,Done,1582713,2506918,46113,2429036
Selangor,6555100,Not done,2475740,1301059,6401620,1383148
Selangor,6555100,Done,4079360,5254041,153480,5171952
Terengganu,1275200,Done,357901,936216,3163,918394
Terengganu,1275200,Not done,917299,338984,1272037,356806
