state,pop,no_type,1st Dose,percentage,vax_dose,pop2
Johor,3794200,Done,3351871,0.883419693,1st Dose,1897100
Johor,3794200,Not Done,442329,0.883419693,1st Dose,1897100
Kedah,2193600,Not Done,495957,0.773907276,1st Dose,1096800
Kedah,2193600,Done,1697643,0.773907276,1st Dose,1096800
Kelantan,1928900,Not Done,676010,0.649536005,1st Dose,964450
Kelantan,1928900,Done,1252890,0.649536005,1st Dose,964450
Kuala Lumpur,1746600,Done,3249689,1.860579984,1st Dose,873300
Kuala Lumpur,1746600,Not Done,0,1.860579984,1st Dose,873300
Labuan,100100,Done,89623,0.895334665,1st Dose,50050
Labuan,100100,Not Done,10477,0.895334665,1st Dose,50050
Melaka,937800,Done,795107,0.847842824,1st Dose,468900
Melaka,937800,Not Done,142693,0.847842824,1st Dose,468900
Negeri Sembilan,1128900,Done,1032800,0.914872885,1st Dose,564450
Negeri Sembilan,1128900,Not Done,96100,0.914872885,1st Dose,564450
Pahang,1684700,Not Done,404626,0.759823114,1st Dose,842350
Pahang,1684700,Done,1280074,0.759823114,1st Dose,842350
Penang,1774200,Not Done,139642,0.921292977,1st Dose,887100
Penang,1774200,Done,1634558,0.921292977,1st Dose,887100
Perak,2509000,Not Done,484481,0.80690275,1st Dose,1254500
Perak,2509000,Done,2024519,0.80690275,1st Dose,1254500
Perlis,255500,Done,217121,0.84978865,1st Dose,127750
Perlis,255500,Not Done,38379,0.84978865,1st Dose,127750
Putrajaya,116100,Done,166248,1.431937984,1st Dose,58050
Putrajaya,116100,Not Done,0,1.431937984,1st Dose,58050
Sabah,3832500,Not Done,1218315,0.682109589,1st Dose,1916250
Sabah,3832500,Done,2614185,0.682109589,1st Dose,1916250
Sarawak,2824700,Not Done,317782,0.887498849,1st Dose,1412350
Sarawak,2824700,Done,2506918,0.887498849,1st Dose,1412350
Selangor,6555100,Not Done,1301059,0.80151958,1st Dose,3277550
Selangor,6555100,Done,5254041,0.80151958,1st Dose,3277550
Terengganu,1275200,Done,936216,0.734171895,1st Dose,637600
Terengganu,1275200,Not Done,338984,0.734171895,1st Dose,637600
