state,pop,no_type2,2nd Dose,percentage2,vax_dose2,pop2
Johor,3794200,Done2,3296758,0.868894102,2nd Dose,1897100
Johor,3794200,Not Done2,497442,0.868894102,2nd Dose,1897100
Kedah,2193600,Not Done2,528833,0.75892004,2nd Dose,1096800
Kedah,2193600,Done2,1664767,0.75892004,2nd Dose,1096800
Kelantan,1928900,Not Done2,702530,0.635787236,2nd Dose,964450
Kelantan,1928900,Done2,1226370,0.635787236,2nd Dose,964450
Kuala Lumpur,1746600,Done2,3167939,1.813774762,2nd Dose,873300
Kuala Lumpur,1746600,Not Done2,0,1.813774762,2nd Dose,873300
Labuan,100100,Done2,85285,0.851998002,2nd Dose,50050
Labuan,100100,Not Done2,14815,0.851998002,2nd Dose,50050
Melaka,937800,Done2,781172,0.832983579,2nd Dose,468900
Melaka,937800,Not Done2,156628,0.832983579,2nd Dose,468900
Negeri Sembilan,1128900,Done2,1017170,0.901027549,2nd Dose,564450
Negeri Sembilan,1128900,Not Done2,111730,0.901027549,2nd Dose,564450
Pahang,1684700,Not Done2,431260,0.744013771,2nd Dose,842350
Pahang,1684700,Done2,1253440,0.744013771,2nd Dose,842350
Penang,1774200,Not Done2,161088,0.909205276,2nd Dose,887100
Penang,1774200,Done2,1613112,0.909205276,2nd Dose,887100
Perak,2509000,Not Done2,527252,0.789855719,2nd Dose,1254500
Perak,2509000,Done2,1981748,0.789855719,2nd Dose,1254500
Perlis,255500,Done2,213575,0.83590998,2nd Dose,127750
Perlis,255500,Not Done2,41925,0.83590998,2nd Dose,127750
Putrajaya,116100,Done2,165234,1.423204134,2nd Dose,58050
Putrajaya,116100,Not Done2,0,1.423204134,2nd Dose,58050
Sabah,3832500,Not Done2,1307377,0.658870972,2nd Dose,1916250
Sabah,3832500,Done2,2525123,0.658870972,2nd Dose,1916250
Sarawak,2824700,Not Done2,395664,0.859927072,2nd Dose,1412350
Sarawak,2824700,Done2,2429036,0.859927072,2nd Dose,1412350
Selangor,6555100,Not Done2,1383148,0.788996659,2nd Dose,3277550
Selangor,6555100,Done2,5171952,0.788996659,2nd Dose,3277550
Terengganu,1275200,Done2,918394,0.720196048,2nd Dose,637600
Terengganu,1275200,Not Done2,356806,0.720196048,2nd Dose,637600
